config,metric,n,mean,std
B0,arcface_identity,1,0.740410,0.000000
B0,lpips_non_nose,1,0.036317,0.000000
B0,lpips_nose_vs_target,1,0.009627,0.000000
B0,lpips_nose_RA_vs_target,1,0.288715,0.000000
B0,lpips_nose_vs_identity,1,0.008622,0.000000
B0_s7,arcface_identity,1,0.726555,0.000000
B0_s7,lpips_non_nose,1,0.039639,0.000000
B0_s7,lpips_nose_vs_target,1,0.008319,0.000000
B0_s7,lpips_nose_RA_vs_target,1,0.290565,0.000000
B0_s7,lpips_nose_vs_identity,1,0.008633,0.000000
B0_s99,arcface_identity,1,0.694456,0.000000
B0_s99,lpips_non_nose,1,0.041029,0.000000
B0_s99,lpips_nose_vs_target,1,0.008130,0.000000
B0_s99,lpips_nose_RA_vs_target,1,0.286749,0.000000
B0_s99,lpips_nose_vs_identity,1,0.009024,0.000000
B0rep,arcface_identity,1,0.740410,0.000000
B0rep,lpips_non_nose,1,0.036317,0.000000
B0rep,lpips_nose_vs_target,1,0.009627,0.000000
B0rep,lpips_nose_RA_vs_target,1,0.288715,0.000000
B0rep,lpips_nose_vs_identity,1,0.008622,0.000000
B1,arcface_identity,1,0.713496,0.000000
B1,lpips_non_nose,1,0.038824,0.000000
B1,lpips_nose_vs_target,1,0.010448,0.000000
B1,lpips_nose_RA_vs_target,1,0.296696,0.000000
B1,lpips_nose_vs_identity,1,0.008419,0.000000
B2,arcface_identity,1,0.650079,0.000000
B2,lpips_non_nose,1,0.040081,0.000000
B2,lpips_nose_vs_target,1,0.008243,0.000000
B2,lpips_nose_RA_vs_target,1,0.269941,0.000000
B2,lpips_nose_vs_identity,1,0.008967,0.000000
B3,arcface_identity,1,0.748326,0.000000
B3,lpips_non_nose,1,0.036475,0.000000
B3,lpips_nose_vs_target,1,0.009609,0.000000
B3,lpips_nose_RA_vs_target,1,0.295606,0.000000
B3,lpips_nose_vs_identity,1,0.006634,0.000000
N0,arcface_identity,2,0.913244,0.023546
N0,lpips_non_nose,2,0.040976,0.000347
N0,lpips_nose,2,0.003080,0.000021
N0,nose_area_ratio,2,0.976971,0.121513
N0,nose_area_target_ratio,2,0.990264,0.240404
N0,lm_l1_to_target_px,2,2.077134,0.020487
N0,lm_l1_orig_to_target_px,2,3.838735,0.627645
N0_s7,arcface_identity,2,0.916054,0.033845
N0_s7,lpips_non_nose,2,0.042583,0.000362
N0_s7,lpips_nose,2,0.003129,0.000214
N0_s7,nose_area_ratio,2,0.947950,0.124321
N0_s7,nose_area_target_ratio,2,0.990264,0.240404
N0_s7,lm_l1_to_target_px,2,2.121506,0.114616
N0_s7,lm_l1_orig_to_target_px,2,3.838638,0.627741
N0_s99,arcface_identity,2,0.914206,0.029331
N0_s99,lpips_non_nose,2,0.041336,0.000131
N0_s99,lpips_nose,2,0.004305,0.000872
N0_s99,nose_area_ratio,2,0.969201,0.117675
N0_s99,nose_area_target_ratio,2,0.990264,0.240404
N0_s99,lm_l1_to_target_px,2,2.144962,0.010430
N0_s99,lm_l1_orig_to_target_px,2,3.838638,0.627741
N0rep,arcface_identity,1,0.924846,0.000000
N0rep,lpips_non_nose,1,0.039665,0.000000
N0rep,lpips_nose,1,0.002767,0.000000
N0rep,nose_area_ratio,1,1.111028,0.000000
N0rep,nose_area_target_ratio,1,1.230668,0.000000
N0rep,lm_l1_to_target_px,1,1.837090,0.000000
N0rep,lm_l1_orig_to_target_px,1,3.210897,0.000000
N1,arcface_identity,2,0.940876,0.004213
N1,lpips_non_nose,2,0.038911,0.000674
N1,lpips_nose,2,0.001861,0.000212
N1,nose_area_ratio,2,0.976409,0.076390
N1,nose_area_target_ratio,2,0.990264,0.240404
N1,lm_l1_to_target_px,2,2.014103,0.082114
N1,lm_l1_orig_to_target_px,2,3.838638,0.627741
N2,arcface_identity,2,0.909464,0.013978
N2,lpips_non_nose,2,0.039292,0.000052
N2,lpips_nose,2,0.004354,0.000569
N2,nose_area_ratio,2,0.996068,0.105037
N2,nose_area_target_ratio,2,0.990264,0.240404
N2,lm_l1_to_target_px,2,4.533659,0.885457
N2,lm_l1_orig_to_target_px,2,3.838638,0.627741
N3,arcface_identity,2,0.899596,0.008506
N3,lpips_non_nose,2,0.040853,0.000222
N3,lpips_nose,2,0.005551,0.000560
N3,nose_area_ratio,2,0.950758,0.126194
N3,nose_area_target_ratio,2,0.990264,0.240404
N3,lm_l1_to_target_px,2,2.096122,0.137156
N3,lm_l1_orig_to_target_px,2,3.838638,0.627741
N4,arcface_identity,2,0.727498,0.020302
N4,lpips_non_nose,2,0.277552,0.001410
N4,lpips_nose,2,0.004786,0.000371
N4,nose_area_ratio,2,0.961243,0.118704
N4,nose_area_target_ratio,2,0.990264,0.240404
N4,lm_l1_to_target_px,2,1.949354,0.066382
N4,lm_l1_orig_to_target_px,2,3.838638,0.627741
